id,source_files,source_lines,owner,claim_type,subtype,claim_text,expected_value,doc_says,code_says,vps_says,status,suggested_fix,notes
c-0001,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,3,owned,concrete,status,Spec status is approved with revisions and awaiting post-revision review.,approved with revisions,"# Design: youtube-transcripts + claude-video merge

**Status:** approved with revisions — review-round 2 feedback incorporated; awaiting post-revision spec review.
**Date:** 2026-05-07 (initial), revised same day.
**Author:** mdc159 (with Claude)",,,MATCH,,
c-0002,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,4,owned,concrete,date,The spec date is 2026-05-07 and was revised the same day.,2026-05-07,"
**Status:** approved with revisions — review-round 2 feedback incorporated; awaiting post-revision spec review.
**Date:** 2026-05-07 (initial), revised same day.
**Author:** mdc159 (with Claude)
",,,MATCH,,
c-0003,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,5,owned,concrete,author,The document author is mdc159 (with Claude).,mdc159,"**Status:** approved with revisions — review-round 2 feedback incorporated; awaiting post-revision spec review.
**Date:** 2026-05-07 (initial), revised same day.
**Author:** mdc159 (with Claude)

## Context",,,MATCH,,
c-0004,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,11,owned,concrete,fallback_chain,"youtube-transcripts uses a 3-method transcript fallback chain: youtube-transcript-api, pytube, then yt-dlp captions.","['youtube-transcript-api', 'pytube', 'yt-dlp captions']","Two repositories with overlapping concerns:

- **`youtube-transcripts`** (this repo): YouTube transcript downloader with a 3-method fallback chain (`youtube-transcript-api` → `pytube` → `yt-dlp` captions), title-aware output paths, paragraph cleanup, and a *style transformation* layer that runs tran",,,UNVERIFIABLE,,
c-0005,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,12,owned,concrete,repository_url,claude-video repository URL is https://github.com/bradautomates/claude-video.,https://github.com/bradautomates/claude-video,"
- **`youtube-transcripts`** (this repo): YouTube transcript downloader with a 3-method fallback chain (`youtube-transcript-api` → `pytube` → `yt-dlp` captions), title-aware output paths, paragraph cleanup, and a *style transformation* layer that runs transcripts through markdown style guides via Op",,,MATCH,,
c-0006,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,12,owned,concrete,frame_limit,claude-video frame extraction is constrained to at most 100 frames.,100,"
- **`youtube-transcripts`** (this repo): YouTube transcript downloader with a 3-method fallback chain (`youtube-transcript-api` → `pytube` → `yt-dlp` captions), title-aware output paths, paragraph cleanup, and a *style transformation* layer that runs transcripts through markdown style guides via Op",,,MATCH,,
c-0007,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,12,owned,concrete,fps_limit,claude-video frame extraction is constrained to at most 2 fps.,2,"
- **`youtube-transcripts`** (this repo): YouTube transcript downloader with a 3-method fallback chain (`youtube-transcript-api` → `pytube` → `yt-dlp` captions), title-aware output paths, paragraph cleanup, and a *style transformation* layer that runs transcripts through markdown style guides via Op",,,MATCH,,
c-0008,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,26,owned,behavioral,traceability_rule,"Every output claim must be traceable to a transcript segment ID, frame ID, or t=MM:SS timestamp.",all claims have at least one traceable evidence token,,probe skipped: disabled,,UNVERIFIABLE,,
c-0009,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,27,owned,behavioral,idempotency,Re-running on the same source skips completed work unless --force is used.,completed steps are skipped without --force,,probe skipped: disabled,,UNVERIFIABLE,,
c-0010,docs/superpowers/specs/2026-05-07-youtube-transcripts-claude-video-merge-design.md,28,owned,concrete,source_support,"The pipeline is intended to support YouTube, yt-dlp-supported platforms, and local files.","['YouTube', 'yt-dlp sources', 'local video files']","- **Every claim in the output is traceable** to a transcript segment ID, frame ID, or `t=MM:SS` timestamp. Auditability is a hard requirement, not a nice-to-have.
- **Idempotent and resumable.** Re-running on the same source must skip completed work unless `--force`. Re-distilling with a different s",,,UNVERIFIABLE,,
